"pVal","phase","peak.shape","period","cruise","pop","param","first_peak"
4.90667280162491e-12,21,10,24,"KM1717","prochloro","abundance",2017-11-08 16:00:00
3.87892880772172e-34,9,14,24,"KM1717","prochloro","Qc",2017-11-08 04:00:00
7.24906319415855e-09,20,11,24,"KM1802","prochloro","abundance",2018-01-17 15:00:00
1.47653165721334e-21,12,13,24,"KM1802","prochloro","Qc",2018-01-17 07:00:00
1.96175697218518e-07,18,11,24,"KOK1801","prochloro","abundance",2018-04-17 18:00:00
1.18512593844547e-13,6,13,24,"KOK1801","prochloro","Qc",2018-04-17 06:00:00
0.0192335673755054,19,10,24,"KOK1803","prochloro","abundance",2018-05-15 18:00:00
7.37546337440826e-06,8,11,24,"KOK1803","prochloro","Qc",2018-05-15 07:00:00
1.96721405077186e-06,20,8,24,"KOK1804","prochloro","abundance",2018-06-26 18:00:00
1.84823209681084e-21,6,14,24,"KOK1804","prochloro","Qc",2018-06-26 04:00:00
4.32311440037725e-08,18,13,24,"KOK1807","prochloro","abundance",2018-07-24 15:00:00
1.28612318807309e-35,9,12,24,"KOK1807","prochloro","Qc",2018-07-24 06:00:00
4.4797256228111e-07,14,11,24,"KM1821","prochloro","abundance",2018-11-16 09:00:00
5.68993559105061e-34,12,10,24,"KM1821","prochloro","Qc",2018-11-16 07:00:00
0.0434343413423951,16,11,24,"KM1901","prochloro","abundance",2019-01-15 12:00:00
1.04115639677703e-16,12,9,24,"KM1901","prochloro","Qc",2019-01-15 08:00:00
0.617618447491934,18,17,24,"KM1903","prochloro","abundance",2019-02-19 14:00:00
2.09073470785172e-18,11,11,24,"KM1903","prochloro","Qc",2019-02-19 07:00:00
3.25205188775206e-21,15,17,24,"KM1909","prochloro","abundance",2019-06-11 12:00:00
1.48048147321798e-34,9,14,24,"KM1909","prochloro","Qc",2019-06-11 06:00:00
3.23244152751373e-07,21,7,24,"KM1912","prochloro","abundance",2019-07-01 17:00:00
3.64001280290426e-22,8,15,24,"KM1912","prochloro","Qc",2019-07-01 04:00:00
0.000158193557988194,21,10,24,"KM1915","prochloro","abundance",2019-08-02 19:00:00
3.90719239653963e-18,8,14,24,"KM1915","prochloro","Qc",2019-08-02 06:00:00
2.72119118142031e-08,17,8,24,"KM1917","prochloro","abundance",2019-09-04 13:00:00
2.21979197262515e-38,11,12,24,"KM1917","prochloro","Qc",2019-09-04 07:00:00
9.46883718768776e-09,21,13,24,"HOT318","prochloro","abundance",2020-01-07 17:00:00
1.08189696641549e-19,12,10,24,"HOT318","prochloro","Qc",2020-01-07 08:00:00
0.00026387993570657,17,17,24,"HOT319","prochloro","abundance",2020-01-30 14:00:00
3.46484914680661e-29,11,11,24,"HOT319","prochloro","Qc",2020-01-30 08:00:00
0.000485875467079793,24,8,24,"HOT321","prochloro","abundance",2020-08-07 18:00:00
3.89987119537449e-42,13,11,24,"HOT321","prochloro","Qc",2020-08-07 07:00:00
0.383488491536686,2,13,24,"HOT322","prochloro","abundance",2020-09-02 10:00:00
9.73930480832618e-50,22,13,24,"HOT322","prochloro","Qc",2020-09-03 06:00:00
0.0854415961151374,15,7,24,"HOT323","prochloro","abundance",2020-09-26 15:00:00
1.66717700104631e-30,6,13,24,"HOT323","prochloro","Qc",2020-09-26 06:00:00
9.8869869569353e-10,16,7,24,"HOT324","prochloro","abundance",2020-11-18 16:00:00
1.63093731525177e-35,5,13,24,"HOT324","prochloro","Qc",2020-11-18 05:00:00
0.160005024971039,23,8,24,"HOT325","prochloro","abundance",2020-12-18 18:00:00
2.31606125467289e-14,9,15,24,"HOT325","prochloro","Qc",2020-12-18 04:00:00
3.33968940800883e-06,11,14,24,"HOT326","prochloro","abundance",2021-01-12 06:00:00
1.11714921925873e-14,12,13,24,"HOT326","prochloro","Qc",2021-01-12 07:00:00
1.38443581472483e-12,15,15,24,"KM1427","synecho","abundance",2014-12-09 13:00:00
