"pVal","phase","peak.shape","period","cruise","pop","param","first_peak"
1.41845124140378e-08,17,13,24,"KOK1515","synecho","Qc",2015-10-13 15:00:00
0.000264989269740701,6,11,24,"KM1518","synecho","abundance",2015-11-13 02:00:00
1.69639688663171e-32,22,14,24,"KM1518","synecho","Qc",2015-11-13 18:00:00
0.0133989884963479,6,13,24,"KM1601","synecho","abundance",2016-01-12 02:00:00
2.93872101497806e-13,20,16,24,"KM1601","synecho","Qc",2016-01-12 16:00:00
0.333352590927485,7,13,24,"KM1602","synecho","abundance",2016-02-09 03:00:00
2.48422866358223e-16,23,13,24,"KM1602","synecho","Qc",2016-02-09 19:00:00
0.896240744720584,1,15,24,"KOK1604","synecho","abundance",2016-04-13 15:00:00
3.29662221954308e-21,8,14,24,"KOK1604","synecho","Qc",2016-04-13 22:00:00
0.00272511929108214,4,9,24,"KOK1608","synecho","abundance",2016-07-10 14:00:00
1.49015986876018e-09,8,15,24,"KOK1608","synecho","Qc",2016-07-10 18:00:00
1.21565811344719e-12,16,17,24,"KOK1609","synecho","abundance",2016-08-09 02:00:00
1.19551944082813e-18,10,11,24,"KOK1609","synecho","Qc",2016-08-08 20:00:00
1.10644676038715e-07,18,9,24,"KM1708","synecho","abundance",2017-06-20 14:00:00
1.31349987532779e-12,24,11,24,"KM1708","synecho","Qc",2017-06-20 20:00:00
0.00571948173761996,5,7,24,"KM1717","synecho","abundance",2017-11-08 00:00:00
1.53484727006897e-29,22,14,24,"KM1717","synecho","Qc",2017-11-08 17:00:00
1.62903005251662e-05,5,13,24,"KM1802","synecho","abundance",2018-01-17 00:00:00
6.55143526179044e-19,1,12,24,"KM1802","synecho","Qc",2018-01-16 20:00:00
0.19855958343937,12,7,24,"KOK1801","synecho","abundance",2018-04-17 12:00:00
7.89640561136313e-11,16,17,24,"KOK1801","synecho","Qc",2018-04-17 16:00:00
0.886154194861575,16,17,24,"KOK1803","synecho","abundance",2018-05-15 15:00:00
2.8699904741552e-05,19,13,24,"KOK1803","synecho","Qc",2018-05-15 18:00:00
0.208549165024572,2,16,24,"KOK1804","synecho","abundance",2018-06-26 00:00:00
1.54070482247879e-23,19,13,24,"KOK1804","synecho","Qc",2018-06-26 17:00:00
2.46001216627833e-07,21,7,24,"KOK1807","synecho","abundance",2018-07-24 18:00:00
1.59798991314014e-25,22,12,24,"KOK1807","synecho","Qc",2018-07-24 19:00:00
1.50199079521704e-18,12,14,24,"KM1821","synecho","abundance",2018-11-16 07:00:00
3.73112926474552e-31,21,16,24,"KM1821","synecho","Qc",2018-11-16 16:00:00
1.30987007633783e-10,11,14,24,"KM1901","synecho","abundance",2019-01-15 07:00:00
1.33854614737332e-09,22,15,24,"KM1901","synecho","Qc",2019-01-15 18:00:00
1.27919039603432e-14,12,13,24,"KM1903","synecho","abundance",2019-02-19 08:00:00
1.61962800799552e-12,23,12,24,"KM1903","synecho","Qc",2019-02-19 19:00:00
1.04820240676699e-13,8,16,24,"KM1909","synecho","abundance",2019-06-11 05:00:00
1.76899326389719e-32,21,13,24,"KM1909","synecho","Qc",2019-06-11 18:00:00
0.0018372906456426,12,8,24,"KM1912","synecho","abundance",2019-07-01 08:00:00
2.37942739815647e-22,22,12,24,"KM1912","synecho","Qc",2019-07-01 18:00:00
1.17366278068102e-06,8,15,24,"KM1915","synecho","abundance",2019-08-02 06:00:00
3.14829920163513e-07,23,9,24,"KM1915","synecho","Qc",2019-08-02 21:00:00
3.40172753125233e-21,13,12,24,"KM1917","synecho","abundance",2019-09-04 09:00:00
2.00048994898136e-35,22,13,24,"KM1917","synecho","Qc",2019-09-04 18:00:00
0.57524705525318,1,7,24,"HOT318","synecho","abundance",2020-01-06 21:00:00
1.51974375220504e-17,20,16,24,"HOT318","synecho","Qc",2020-01-07 16:00:00
6.32366513813267e-14,11,10,24,"HOT319","synecho","abundance",2020-01-30 08:00:00
2.95963757796115e-21,23,13,24,"HOT319","synecho","Qc",2020-01-30 20:00:00
0.000442559713980152,8,13,24,"HOT321","synecho","abundance",2020-08-07 02:00:00
2.02974006190997e-14,24,13,24,"HOT321","synecho","Qc",2020-08-07 18:00:00
2.34741271917068e-09,1,10,24,"HOT322","synecho","abundance",2020-09-02 09:00:00
1.14479590873358e-17,15,7,24,"HOT322","synecho","Qc",2020-09-02 23:00:00
0.145457180699465,3,13,24,"HOT323","synecho","abundance",2020-09-26 03:00:00
2.94287088122995e-23,17,13,24,"HOT323","synecho","Qc",2020-09-26 17:00:00
1.87249882454476e-13,5,11,24,"HOT324","synecho","abundance",2020-11-18 05:00:00
4.67271838158288e-36,18,13,24,"HOT324","synecho","Qc",2020-11-18 18:00:00
0.00068336759854627,4,17,24,"HOT325","synecho","abundance",2020-12-17 23:00:00
5.41629611304944e-06,24,7,24,"HOT325","synecho","Qc",2020-12-18 19:00:00
0.199037275321077,21,11,24,"HOT326","synecho","abundance",2021-01-12 16:00:00
1.25262364262951e-13,1,12,24,"HOT326","synecho","Qc",2021-01-11 20:00:00
0.345735413025888,11,11,24,"KM1427","picoeuk","abundance",2014-12-09 09:00:00
0.0339045329332311,6,17,24,"KM1427","picoeuk","Qc",2014-12-09 04:00:00
6.83369644003934e-19,11,7,24,"KM1508","picoeuk","abundance",2015-05-23 06:00:00
3.34163126768811e-09,20,8,24,"KM1508","picoeuk","Qc",2015-05-23 15:00:00
5.09502183301096e-08,4,17,24,"KM1512","picoeuk","abundance",2015-07-19 00:00:00
4.98918865760277e-22,23,10,24,"KM1512","picoeuk","Qc",2015-07-19 19:00:00
0.00177836519198535,6,17,24,"KOK1515","picoeuk","abundance",2015-10-13 04:00:00
4.07217087910108e-06,18,12,24,"KOK1515","picoeuk","Qc",2015-10-13 16:00:00
0.029831298861515,9,8,24,"KM1518","picoeuk","abundance",2015-11-13 05:00:00
1.97196261153576e-05,22,14,24,"KM1518","picoeuk","Qc",2015-11-13 18:00:00
1.48129237875405e-11,10,13,24,"KM1601","picoeuk","abundance",2016-01-12 06:00:00
1.99392670170996e-15,21,15,24,"KM1601","picoeuk","Qc",2016-01-12 17:00:00
3.73384260685512e-13,9,12,24,"KM1602","picoeuk","abundance",2016-02-09 05:00:00
5.41530163207713e-17,22,12,24,"KM1602","picoeuk","Qc",2016-02-09 18:00:00
1.17367733827298e-09,23,8,24,"KOK1604","picoeuk","abundance",2016-04-14 13:00:00
6.48135489499958e-21,9,8,24,"KOK1604","picoeuk","Qc",2016-04-13 23:00:00
0.828578915350295,4,7,24,"KOK1608","picoeuk","abundance",2016-07-10 14:00:00
5.47699837293107e-28,10,11,24,"KOK1608","picoeuk","Qc",2016-07-10 20:00:00
5.02799575165559e-14,13,15,24,"KOK1609","picoeuk","abundance",2016-08-08 23:00:00
5.90093859072502e-23,9,12,24,"KOK1609","picoeuk","Qc",2016-08-08 19:00:00
2.04097939002967e-10,10,12,24,"KM1708","picoeuk","abundance",2017-06-20 06:00:00
7.09839730074928e-25,22,13,24,"KM1708","picoeuk","Qc",2017-06-20 18:00:00
0.0999972051480866,12,13,24,"KM1717","picoeuk","abundance",2017-11-08 07:00:00
7.03363784037915e-16,20,16,24,"KM1717","picoeuk","Qc",2017-11-08 15:00:00
2.61396227574663e-07,10,12,24,"KM1802","picoeuk","abundance",2018-01-17 05:00:00
2.77684876110218e-14,23,14,24,"KM1802","picoeuk","Qc",2018-01-17 18:00:00
0.0793239236809205,6,7,24,"KOK1801","picoeuk","abundance",2018-04-17 06:00:00
2.13253227445819e-13,16,15,24,"KOK1801","picoeuk","Qc",2018-04-17 16:00:00
0.841859585556711,6,17,24,"KOK1803","picoeuk","abundance",2018-05-15 05:00:00
3.01949050157676e-09,17,16,24,"KOK1803","picoeuk","Qc",2018-05-15 16:00:00
4.46055887839003e-06,4,12,24,"KOK1804","picoeuk","abundance",2018-06-26 02:00:00
8.1550780059686e-27,19,14,24,"KOK1804","picoeuk","Qc",2018-06-26 17:00:00
0.000118429769108638,9,7,24,"KOK1807","picoeuk","abundance",2018-07-24 06:00:00
2.26990820991276e-32,22,12,24,"KOK1807","picoeuk","Qc",2018-07-24 19:00:00
0.00328146614190204,8,17,24,"KM1821","picoeuk","abundance",2018-11-16 03:00:00
6.71412788272599e-26,23,14,24,"KM1821","picoeuk","Qc",2018-11-16 18:00:00
1.59232460424274e-13,7,16,24,"KM1901","picoeuk","abundance",2019-01-15 03:00:00
1.54546264774132e-17,22,15,24,"KM1901","picoeuk","Qc",2019-01-15 18:00:00
9.02151731916374e-09,8,14,24,"KM1903","picoeuk","abundance",2019-02-19 04:00:00
2.86136818390254e-16,22,13,24,"KM1903","picoeuk","Qc",2019-02-19 18:00:00
0.0128729263363948,22,7,24,"KM1909","picoeuk","abundance",2019-06-11 19:00:00
3.85832883301808e-27,21,12,24,"KM1909","picoeuk","Qc",2019-06-11 18:00:00
0.229087027132334,24,9,24,"KM1912","picoeuk","abundance",2019-07-01 20:00:00
2.40649931714316e-23,23,11,24,"KM1912","picoeuk","Qc",2019-07-01 19:00:00
0.27964037049036,24,8,24,"KM1915","picoeuk","abundance",2019-08-02 22:00:00
1.9820271762091e-07,18,17,24,"KM1915","picoeuk","Qc",2019-08-02 16:00:00
1.41020914423854e-20,10,12,24,"KM1917","picoeuk","abundance",2019-09-04 06:00:00
1.40570766158431e-31,22,13,24,"KM1917","picoeuk","Qc",2019-09-04 18:00:00
7.1260267240759e-09,6,15,24,"HOT318","picoeuk","abundance",2020-01-07 02:00:00
1.34607767911958e-16,22,14,24,"HOT318","picoeuk","Qc",2020-01-07 18:00:00
2.69003180001331e-18,10,12,24,"HOT319","picoeuk","abundance",2020-01-30 07:00:00
4.91454102019939e-33,21,15,24,"HOT319","picoeuk","Qc",2020-01-30 18:00:00
0.000395207397299989,15,7,24,"HOT321","picoeuk","abundance",2020-08-07 09:00:00
1.01346960799436e-28,23,15,24,"HOT321","picoeuk","Qc",2020-08-07 17:00:00
0.0101331098958913,1,12,24,"HOT322","picoeuk","abundance",2020-09-02 09:00:00
8.64564833879491e-35,10,14,24,"HOT322","picoeuk","Qc",2020-09-02 18:00:00
0.937480811072765,7,16,24,"HOT323","picoeuk","abundance",2020-09-26 07:00:00
7.63322635377142e-13,17,15,24,"HOT323","picoeuk","Qc",2020-09-26 17:00:00
8.76651631588785e-15,5,15,24,"HOT324","picoeuk","abundance",2020-11-18 05:00:00
1.73798052170917e-43,18,14,24,"HOT324","picoeuk","Qc",2020-11-18 18:00:00
7.03757519947529e-09,11,12,24,"HOT325","picoeuk","abundance",2020-12-18 06:00:00
1.10820244448095e-09,22,15,24,"HOT325","picoeuk","Qc",2020-12-18 17:00:00
0.00295016413480924,11,15,24,"HOT326","picoeuk","abundance",2021-01-12 06:00:00
1.54255483692938e-13,24,14,24,"HOT326","picoeuk","Qc",2021-01-12 19:00:00
0.000274152019008685,19,16,24,"KM1427","croco","abundance",2014-12-09 17:00:00
2.45959971832794e-13,19,14,24,"KM1427","croco","Qc",2014-12-09 17:00:00
0.868383355975478,23,8,24,"KM1508","croco","abundance",2015-05-23 18:00:00
0.0012174338990979,21,17,24,"KM1508","croco","Qc",2015-05-23 16:00:00
0.205023550023141,19,17,24,"KM1512","croco","abundance",2015-07-19 15:00:00
0.0145132413455142,5,10,24,"KM1512","croco","Qc",2015-07-19 01:00:00
0.00791610606564874,16,17,24,"KOK1515","croco","abundance",2015-10-13 14:00:00
7.84465231389299e-06,18,14,24,"KOK1515","croco","Qc",2015-10-13 16:00:00
1.58283788816093e-10,22,15,24,"KM1518","croco","abundance",2015-11-13 18:00:00
0.624271057057988,23,9,24,"KM1518","croco","Qc",2015-11-13 19:00:00
4.19135024253619e-06,20,17,24,"KM1601","croco","abundance",2016-01-12 16:00:00
1.38940484985921e-06,3,9,24,"KM1601","croco","Qc",2016-01-11 23:00:00
1.72736038465759e-06,24,9,24,"KM1602","croco","abundance",2016-02-09 20:00:00
0.420026738263552,5,10,24,"KM1602","croco","Qc",2016-02-09 01:00:00
0.000110972141207356,8,10,24,"KOK1604","croco","abundance",2016-04-13 22:00:00
0.175001412567341,19,11,24,"KOK1604","croco","Qc",2016-04-14 09:00:00
0.85681857490611,9,14,24,"KOK1608","croco","abundance",2016-07-10 19:00:00
0.745711336674718,8,11,24,"KOK1608","croco","Qc",2016-07-10 18:00:00
3.10266840720422e-09,4,17,24,"KOK1609","croco","abundance",2016-08-08 14:00:00
2.63342726982793e-17,13,12,24,"KOK1609","croco","Qc",2016-08-08 23:00:00
3.84984024345678e-09,16,17,24,"KM1708","croco","abundance",2017-06-20 12:00:00
1.39161603212842e-29,2,9,24,"KM1708","croco","Qc",2017-06-19 22:00:00
0.000664948149006471,20,17,24,"KM1717","croco","abundance",2017-11-08 15:00:00
1.22447034060811e-20,22,15,24,"KM1717","croco","Qc",2017-11-08 17:00:00
0.228156810688496,18,10,24,"KM1802","croco","abundance",2018-01-17 13:00:00
0.00449529744727605,1,13,24,"KM1802","croco","Qc",2018-01-16 20:00:00
8.64198581905131e-06,18,12,24,"KOK1801","croco","abundance",2018-04-17 18:00:00
0.510493271487598,18,13,24,"KOK1801","croco","Qc",2018-04-17 18:00:00
0.935376453123377,8,17,24,"KOK1803","croco","abundance",2018-05-15 07:00:00
0.959846490551838,20,10,24,"KOK1803","croco","Qc",2018-05-15 19:00:00
0.000200400184113658,18,16,24,"KOK1804","croco","abundance",2018-06-26 16:00:00
8.87834528211866e-19,23,10,24,"KOK1804","croco","Qc",2018-06-26 21:00:00
0.0722313753380862,21,12,24,"KOK1807","croco","abundance",2018-07-24 18:00:00
0.0629094698674194,23,12,24,"KOK1807","croco","Qc",2018-07-24 20:00:00
3.37165598182479e-06,22,16,24,"KM1821","croco","abundance",2018-11-16 17:00:00
2.10611859813979e-32,22,15,24,"KM1821","croco","Qc",2018-11-16 17:00:00
0.210257319523764,18,8,24,"KM1901","croco","abundance",2019-01-15 14:00:00
0.126187166151364,24,12,24,"KM1901","croco","Qc",2019-01-15 20:00:00
0.0206978919975114,14,15,24,"KM1903","croco","abundance",2019-02-19 10:00:00
0.0560123251130667,3,13,24,"KM1903","croco","Qc",2019-02-18 23:00:00
0.361180990457873,20,17,24,"KM1909","croco","abundance",2019-06-11 17:00:00
0.91364925846274,12,17,24,"KM1909","croco","Qc",2019-06-11 09:00:00
0.000348092259559429,17,17,24,"KM1912","croco","abundance",2019-07-01 13:00:00
5.71523092526738e-14,2,8,24,"KM1912","croco","Qc",2019-06-30 22:00:00
0.000140431474018152,16,16,24,"KM1915","croco","abundance",2019-08-02 14:00:00
1.2809110187611e-16,23,13,24,"KM1915","croco","Qc",2019-08-02 21:00:00
2.39766474569867e-17,14,17,24,"KM1917","croco","abundance",2019-09-04 10:00:00
1.33454627892844e-35,2,10,24,"KM1917","croco","Qc",2019-09-03 22:00:00
8.75876805301996e-07,21,17,24,"HOT318","croco","abundance",2020-01-07 17:00:00
0.135454828668616,21,12,24,"HOT318","croco","Qc",2020-01-07 17:00:00
0.925700583291321,20,17,24,"HOT319","croco","abundance",2020-01-30 17:00:00
0.109383758819292,16,8,24,"HOT319","croco","Qc",2020-01-30 13:00:00
3.56208027734765e-18,20,17,24,"HOT321","croco","abundance",2020-08-07 14:00:00
5.94056422980454e-25,4,11,24,"HOT321","croco","Qc",2020-08-06 22:00:00
1.75058849067261e-17,8,16,24,"HOT322","croco","abundance",2020-09-02 16:00:00
4.01672309073187e-27,13,11,24,"HOT322","croco","Qc",2020-09-02 21:00:00
9.39004652615832e-08,13,17,24,"HOT323","croco","abundance",2020-09-26 13:00:00
5.70221658445449e-17,22,9,24,"HOT323","croco","Qc",2020-09-26 22:00:00
1.24201090020129e-05,17,11,24,"HOT324","croco","abundance",2020-11-18 17:00:00
1.645459555978e-07,20,8,24,"HOT324","croco","Qc",2020-11-18 20:00:00
0.0548477080403125,23,7,24,"HOT325","croco","abundance",2020-12-18 18:00:00
0.846656395533263,4,7,24,"HOT325","croco","Qc",2020-12-17 23:00:00
0.000132651718849163,23,11,24,"HOT326","croco","abundance",2021-01-12 18:00:00
0.278329804233044,4,10,24,"HOT326","croco","Qc",2021-01-11 23:00:00
