"pVal","phase","peak.shape","period","cruise","pop","param","first_peak","peak_hour"
3.893722419738e-16,13,10,24,"KM2009","prochloro","abundance",2020-08-07 07:00:00,7
1.90073199352784e-43,24,13,24,"KM2009","prochloro","Qc",2020-08-07 18:00:00,18
7.69371432366971e-48,10,13,24,"KM2010","prochloro","abundance",2020-08-31 06:00:00,6
1.32170981774186e-73,22,13,24,"KM2010","prochloro","Qc",2020-09-01 04:00:00,18
0.28346333823724,7,14,24,"KM2011","prochloro","abundance",2020-09-26 17:00:00,7
2.8261968428167e-32,19,11,24,"KM2011","prochloro","Qc",2020-09-27 05:00:00,19
0.00010783754588232,8,16,24,"KM2013","prochloro","abundance",2020-11-18 18:00:00,8
2.21312689814333e-35,18,11,24,"KM2013","prochloro","Qc",2020-11-19 04:00:00,18
0.00016807171840532,12,8,24,"KM2014","prochloro","abundance",2020-12-18 17:00:00,7
2.85881627399159e-21,24,11,24,"KM2014","prochloro","Qc",2020-12-19 05:00:00,19
4.39030153597919e-12,12,12,24,"KM2101","prochloro","abundance",2021-01-12 17:00:00,7
3.24216921784596e-32,24,13,24,"KM2101","prochloro","Qc",2021-01-13 05:00:00,19
1.68355912793746e-13,23,7,24,"KM1427","synecho","abundance",2014-12-10 07:00:00,21
1.10085838339231e-26,19,14,24,"KM1427","synecho","Qc",2014-12-10 03:00:00,17
3.83812291435188e-11,3,10,24,"KM1508","synecho","abundance",2015-05-23 08:00:00,22
9.54397495020794e-38,1,11,24,"KM1508","synecho","Qc",2015-05-23 06:00:00,20
0.00037497213726249,2,12,24,"KM1512","synecho","abundance",2015-07-19 08:00:00,22
7.09154015591677e-13,23,10,24,"KM1512","synecho","Qc",2015-07-20 05:00:00,19
2.2860276735224e-05,16,17,24,"KM1518","synecho","abundance",2015-11-13 22:00:00,12
1.69639688663171e-32,22,14,24,"KM1518","synecho","Qc",2015-11-14 04:00:00,18
2.4330336854491e-22,1,8,24,"KM1601","synecho","abundance",2016-01-12 07:00:00,21
2.93872101497806e-13,20,16,24,"KM1601","synecho","Qc",2016-01-13 02:00:00,16
1.92535515985089e-10,2,7,24,"KM1602","synecho","abundance",2016-02-09 08:00:00,22
1.60702219323351e-16,23,13,24,"KM1602","synecho","Qc",2016-02-10 05:00:00,19
0.420057063673787,7,14,24,"KOK1604","synecho","abundance",2016-04-14 02:00:00,16
1.25173158757995e-21,8,14,24,"KOK1604","synecho","Qc",2016-04-14 03:00:00,17
0.00100582738284465,13,16,24,"KOK1608","synecho","abundance",2016-07-11 09:00:00,23
1.49015986876018e-09,8,15,24,"KOK1608","synecho","Qc",2016-07-11 04:00:00,18
0.00013322129132331,8,8,24,"KOK1609","synecho","abundance",2016-08-09 04:00:00,18
1.19551944082813e-18,10,11,24,"KOK1609","synecho","Qc",2016-08-09 06:00:00,20
3.47815460594703e-11,23,11,24,"KM1708","synecho","abundance",2017-06-21 05:00:00,19
1.31349987532779e-12,24,11,24,"KM1708","synecho","Qc",2017-06-21 06:00:00,20
0.920662679880755,1,14,24,"KM1717","synecho","abundance",2017-11-08 06:00:00,20
1.53484727006897e-29,22,14,24,"KM1717","synecho","Qc",2017-11-09 03:00:00,17
