"pVal","phase","peak.shape","period","cruise","pop","param","first_peak"
1.99919509589087e-10,23,12,24,"KM1427","prochloro","abundance",2014-12-09 21:00:00
7.21666186284289e-27,23,11,24,"KM1508","prochloro","abundance",2015-05-23 18:00:00
1.61574163510999e-06,4,10,24,"KM1512","prochloro","abundance",2015-07-19 00:00:00
3.05426810004656e-11,22,11,24,"KM1518","prochloro","abundance",2015-11-13 18:00:00
1.03551529139081e-30,1,10,24,"KM1601","prochloro","abundance",2016-01-11 21:00:00
1.471419937248e-22,21,14,24,"KM1602","prochloro","abundance",2016-02-09 17:00:00
2.78053021570423e-14,7,11,24,"KOK1604","prochloro","abundance",2016-04-13 16:00:00
0.0252551497693221,6,7,24,"KOK1608","prochloro","abundance",2016-07-10 16:00:00
9.72246467013684e-05,22,12,24,"KOK1609","prochloro","abundance",2016-08-09 08:00:00
5.79743987595938e-15,19,15,24,"KM1708","prochloro","abundance",2017-06-20 15:00:00
6.26008409964711e-24,1,11,24,"KM1717","prochloro","abundance",2017-11-07 20:00:00
7.80870570019402e-13,23,11,24,"KM1802","prochloro","abundance",2018-01-17 18:00:00
0.0113606489295293,12,17,24,"KOK1801","prochloro","abundance",2018-04-17 12:00:00
8.17658190059814e-08,19,12,24,"KOK1803","prochloro","abundance",2018-05-15 18:00:00
6.29429720161181e-26,20,11,24,"KOK1804","prochloro","abundance",2018-06-26 18:00:00
1.05734302107425e-26,22,11,24,"KOK1807","prochloro","abundance",2018-07-24 19:00:00
2.81828460278384e-14,12,14,24,"KM1821","prochloro","abundance",2018-11-16 07:00:00
2.67708909816447e-08,16,9,24,"KM1901","prochloro","abundance",2019-01-15 12:00:00
3.88011986646092e-05,12,17,24,"KM1903","prochloro","abundance",2019-02-19 08:00:00
6.38286555102667e-05,16,12,24,"KM1909","prochloro","abundance",2019-06-11 13:00:00
9.55106162141192e-12,16,11,24,"KM1912","prochloro","abundance",2019-07-01 12:00:00
1.13645042343069e-05,5,17,24,"KM1915","prochloro","abundance",2019-08-02 03:00:00
7.77300998333911e-14,12,14,24,"KM1917","prochloro","abundance",2019-09-04 08:00:00
5.04552414118394e-14,23,8,24,"KM2001","prochloro","abundance",2020-01-07 19:00:00
0.0076225582598867,20,8,24,"KM2002","prochloro","abundance",2020-01-30 17:00:00
3.893722419738e-16,13,10,24,"KM2009","prochloro","abundance",2020-08-07 07:00:00
0.28346333823724,7,14,24,"KM2011","prochloro","abundance",2020-09-26 07:00:00
0.000107837545882324,8,16,24,"KM2013","prochloro","abundance",2020-11-18 08:00:00
0.000168071718405322,12,8,24,"KM2014","prochloro","abundance",2020-12-18 07:00:00
4.39030153597919e-12,12,12,24,"KM2101","prochloro","abundance",2021-01-12 07:00:00
1.68355912793746e-13,23,7,24,"KM1427","synecho","abundance",2014-12-09 21:00:00
3.83812291435188e-11,3,10,24,"KM1508","synecho","abundance",2015-05-22 22:00:00
0.000374972137262497,2,12,24,"KM1512","synecho","abundance",2015-07-18 22:00:00
2.2860276735224e-05,16,17,24,"KM1518","synecho","abundance",2015-11-13 12:00:00
2.4330336854491e-22,1,8,24,"KM1601","synecho","abundance",2016-01-11 21:00:00
1.92535515985089e-10,2,7,24,"KM1602","synecho","abundance",2016-02-08 22:00:00
0.420057063673787,7,14,24,"KOK1604","synecho","abundance",2016-04-13 16:00:00
0.00100582738284465,13,16,24,"KOK1608","synecho","abundance",2016-07-10 23:00:00
0.000133221291323314,8,8,24,"KOK1609","synecho","abundance",2016-08-08 18:00:00
3.47815460594703e-11,23,11,24,"KM1708","synecho","abundance",2017-06-20 19:00:00
0.920662679880755,1,14,24,"KM1717","synecho","abundance",2017-11-07 20:00:00
4.5630740979894e-06,18,13,24,"KM1802","synecho","abundance",2018-01-17 13:00:00
0.153122211105662,20,8,24,"KOK1801","synecho","abundance",2018-04-17 20:00:00
