"pVal","phase","peak.shape","period","cruise","pop","param","first_peak"
2.93872101497806e-13,20,16,24,"KM1601","synecho","Qc",2016-01-13 02:00:00
1.92535515985089e-10,9,17,24,"KM1602","synecho","abundance",2016-02-09 15:00:00
1.60702219323351e-16,23,13,24,"KM1602","synecho","Qc",2016-02-10 05:00:00
0.420057063673787,21,10,24,"KOK1604","synecho","abundance",2016-04-14 16:00:00
1.25173158757995e-21,8,14,24,"KOK1604","synecho","Qc",2016-04-14 03:00:00
0.00100582738284465,5,8,24,"KOK1608","synecho","abundance",2016-07-11 01:00:00
1.49015986876018e-09,8,15,24,"KOK1608","synecho","Qc",2016-07-11 04:00:00
0.00013322129132331,16,16,24,"KOK1609","synecho","abundance",2016-08-09 12:00:00
1.19551944082813e-18,10,11,24,"KOK1609","synecho","Qc",2016-08-09 06:00:00
3.47815460594703e-11,10,13,24,"KM1708","synecho","abundance",2017-06-20 16:00:00
1.31349987532779e-12,24,11,24,"KM1708","synecho","Qc",2017-06-21 06:00:00
0.920662679880755,15,10,24,"KM1717","synecho","abundance",2017-11-08 20:00:00
1.53484727006897e-29,22,14,24,"KM1717","synecho","Qc",2017-11-09 03:00:00
4.5630740979894e-06,7,11,24,"KM1802","synecho","abundance",2018-01-17 12:00:00
6.55143526179044e-19,1,12,24,"KM1802","synecho","Qc",2018-01-17 06:00:00
0.153122211105662,4,16,24,"KOK1801","synecho","abundance",2018-04-17 14:00:00
7.89640561136313e-11,16,17,24,"KOK1801","synecho","Qc",2018-04-18 02:00:00
0.908333180175236,3,15,24,"KOK1803","synecho","abundance",2018-05-15 12:00:00
2.8699904741552e-05,19,13,24,"KOK1803","synecho","Qc",2018-05-16 04:00:00
2.57112570869348e-07,4,15,24,"KOK1804","synecho","abundance",2018-06-26 12:00:00
1.54070482247879e-23,19,13,24,"KOK1804","synecho","Qc",2018-06-27 03:00:00
1.45850709593567e-07,10,14,24,"KOK1807","synecho","abundance",2018-07-24 17:00:00
1.59798991314014e-25,22,12,24,"KOK1807","synecho","Qc",2018-07-25 05:00:00
4.39330481413025e-21,10,14,24,"KM1821","synecho","abundance",2018-11-16 15:00:00
3.73112926474552e-31,21,16,24,"KM1821","synecho","Qc",2018-11-17 02:00:00
1.05100194907824e-14,11,10,24,"KM1901","synecho","abundance",2019-01-15 17:00:00
1.33854614737332e-09,22,15,24,"KM1901","synecho","Qc",2019-01-16 04:00:00
7.37972487499106e-16,8,17,24,"KM1903","synecho","abundance",2019-02-19 14:00:00
1.61962800799552e-12,23,12,24,"KM1903","synecho","Qc",2019-02-20 05:00:00
3.33920834152433e-16,10,14,24,"KM1909","synecho","abundance",2019-06-11 17:00:00
1.76899326389719e-32,21,13,24,"KM1909","synecho","Qc",2019-06-12 04:00:00
0.00092599201179682,5,15,24,"KM1912","synecho","abundance",2019-07-01 11:00:00
2.37942739815647e-22,22,12,24,"KM1912","synecho","Qc",2019-07-02 04:00:00
0.0260628563242512,17,17,24,"KM1915","synecho","abundance",2019-08-03 01:00:00
3.14829920163513e-07,23,9,24,"KM1915","synecho","Qc",2019-08-03 07:00:00
1.7577657325636e-10,17,7,24,"KM1917","synecho","abundance",2019-09-04 23:00:00
2.00048994898136e-35,22,13,24,"KM1917","synecho","Qc",2019-09-05 04:00:00
0.892607469079068,12,10,24,"KM2001","synecho","abundance",2020-01-07 18:00:00
3.50602647521132e-17,20,16,24,"KM2001","synecho","Qc",2020-01-08 02:00:00
3.01749389013297e-14,10,11,24,"KM2002","synecho","abundance",2020-01-30 17:00:00
1.16680974770829e-20,21,14,24,"KM2002","synecho","Qc",2020-01-31 04:00:00
4.85403323935813e-18,10,16,24,"KM2009","synecho","abundance",2020-08-07 14:00:00
4.02167841653687e-21,24,13,24,"KM2009","synecho","Qc",2020-08-08 04:00:00
3.11023734884009e-09,9,10,24,"KM2011","synecho","abundance",2020-09-26 19:00:00
6.20614731249849e-13,17,14,24,"KM2011","synecho","Qc",2020-09-27 03:00:00
5.55522141640937e-10,5,12,24,"KM2013","synecho","abundance",2020-11-18 15:00:00
5.07997331290033e-41,17,14,24,"KM2013","synecho","Qc",2020-11-19 03:00:00
1.77152498092776e-06,6,17,24,"KM2014","synecho","abundance",2020-12-18 11:00:00
1.66774037621613e-08,20,16,24,"KM2014","synecho","Qc",2020-12-19 01:00:00
0.0093665582589012,17,11,24,"KM2101","synecho","abundance",2021-01-12 22:00:00
6.90948433558569e-20,24,13,24,"KM2101","synecho","Qc",2021-01-13 05:00:00
0.345735413025888,11,11,24,"KM1427","euk","abundance",2014-12-09 19:00:00
0.0339045329332311,6,17,24,"KM1427","euk","Qc",2014-12-09 14:00:00
6.83369644003934e-19,11,7,24,"KM1508","euk","abundance",2015-05-23 16:00:00
3.34163126768811e-09,20,8,24,"KM1508","euk","Qc",2015-05-24 01:00:00
5.09502183301096e-08,4,17,24,"KM1512","euk","abundance",2015-07-19 10:00:00
4.98918865760277e-22,23,10,24,"KM1512","euk","Qc",2015-07-20 05:00:00
0.029831298861515,9,8,24,"KM1518","euk","abundance",2015-11-13 15:00:00
1.97196261153576e-05,22,14,24,"KM1518","euk","Qc",2015-11-14 04:00:00
1.48129237875405e-11,10,13,24,"KM1601","euk","abundance",2016-01-12 16:00:00
1.99392670170996e-15,21,15,24,"KM1601","euk","Qc",2016-01-13 03:00:00
3.73384260685512e-13,9,12,24,"KM1602","euk","abundance",2016-02-09 15:00:00
5.34631689791055e-17,22,12,24,"KM1602","euk","Qc",2016-02-10 04:00:00
2.94684718570243e-11,21,13,24,"KOK1604","euk","abundance",2016-04-14 16:00:00
8.95305251449845e-21,9,8,24,"KOK1604","euk","Qc",2016-04-14 04:00:00
0.828578915350295,4,7,24,"KOK1608","euk","abundance",2016-07-11 00:00:00
5.47699837293107e-28,10,11,24,"KOK1608","euk","Qc",2016-07-11 06:00:00
5.02799575165559e-14,13,15,24,"KOK1609","euk","abundance",2016-08-09 09:00:00
5.90093859072502e-23,9,12,24,"KOK1609","euk","Qc",2016-08-09 05:00:00
2.04097939002967e-10,10,12,24,"KM1708","euk","abundance",2017-06-20 16:00:00
7.09839730074928e-25,22,13,24,"KM1708","euk","Qc",2017-06-21 04:00:00
0.0999972051480866,12,13,24,"KM1717","euk","abundance",2017-11-08 17:00:00
7.03363784037915e-16,20,16,24,"KM1717","euk","Qc",2017-11-09 01:00:00
2.61396227574663e-07,10,12,24,"KM1802","euk","abundance",2018-01-17 15:00:00
2.77684876110218e-14,23,14,24,"KM1802","euk","Qc",2018-01-18 04:00:00
0.0793239236809205,6,7,24,"KOK1801","euk","abundance",2018-04-17 16:00:00
2.13253227445819e-13,16,15,24,"KOK1801","euk","Qc",2018-04-18 02:00:00
0.841859585556711,6,17,24,"KOK1803","euk","abundance",2018-05-15 15:00:00
3.01949050157676e-09,17,16,24,"KOK1803","euk","Qc",2018-05-16 02:00:00
4.46055887839003e-06,4,12,24,"KOK1804","euk","abundance",2018-06-26 12:00:00
8.1550780059686e-27,19,14,24,"KOK1804","euk","Qc",2018-06-27 03:00:00
0.00011842976910863,9,7,24,"KOK1807","euk","abundance",2018-07-24 16:00:00
2.26990820991276e-32,22,12,24,"KOK1807","euk","Qc",2018-07-25 05:00:00
0.00328146614190204,8,17,24,"KM1821","euk","abundance",2018-11-16 13:00:00
6.71412788272599e-26,23,14,24,"KM1821","euk","Qc",2018-11-17 04:00:00
1.59232460424274e-13,7,16,24,"KM1901","euk","abundance",2019-01-15 13:00:00
1.54546264774132e-17,22,15,24,"KM1901","euk","Qc",2019-01-16 04:00:00
9.02151731916374e-09,8,14,24,"KM1903","euk","abundance",2019-02-19 14:00:00
2.86136818390254e-16,22,13,24,"KM1903","euk","Qc",2019-02-20 04:00:00
0.0128729263363948,22,7,24,"KM1909","euk","abundance",2019-06-12 05:00:00
3.85832883301808e-27,21,12,24,"KM1909","euk","Qc",2019-06-12 04:00:00
0.229087027132334,24,9,24,"KM1912","euk","abundance",2019-07-02 06:00:00
2.40649931714316e-23,23,11,24,"KM1912","euk","Qc",2019-07-02 05:00:00
0.27964037049036,24,8,24,"KM1915","euk","abundance",2019-08-03 08:00:00
1.9820271762091e-07,18,17,24,"KM1915","euk","Qc",2019-08-03 02:00:00
1.41020914423854e-20,10,12,24,"KM1917","euk","abundance",2019-09-04 16:00:00
1.40570766158431e-31,22,13,24,"KM1917","euk","Qc",2019-09-05 04:00:00
2.71561976832991e-11,10,11,24,"KM2001","euk","abundance",2020-01-07 16:00:00
1.54628866758239e-17,22,12,24,"KM2001","euk","Qc",2020-01-08 04:00:00
8.64666487273197e-18,10,12,24,"KM2002","euk","abundance",2020-01-30 17:00:00
1.91602566949556e-35,22,13,24,"KM2002","euk","Qc",2020-01-31 05:00:00
7.5368009539202e-06,8,14,24,"KM2009","euk","abundance",2020-08-07 12:00:00
