"pVal","phase","peak.shape","period","cruise","pop","param","first_peak","peak_hour"
5.47699837293107e-28,10,11,24,"KOK1608","euk","Qc",2016-07-10 20:00:00,20
5.90093859072502e-23,9,12,24,"KOK1609","euk","Qc",2016-08-08 19:00:00,19
7.09839730074928e-25,22,13,24,"KM1708","euk","Qc",2017-06-20 18:00:00,18
7.03363784037915e-16,20,16,24,"KM1717","euk","Qc",2017-11-08 15:00:00,15
2.77684876110218e-14,23,14,24,"KM1802","euk","Qc",2018-01-17 18:00:00,18
2.13253227445819e-13,16,15,24,"KOK1801","euk","Qc",2018-04-17 16:00:00,16
3.01949050157676e-09,17,16,24,"KOK1803","euk","Qc",2018-05-15 16:00:00,16
8.1550780059686e-27,19,14,24,"KOK1804","euk","Qc",2018-06-26 17:00:00,17
2.26990820991276e-32,22,12,24,"KOK1807","euk","Qc",2018-07-24 19:00:00,19
6.71412788272599e-26,23,14,24,"KM1821","euk","Qc",2018-11-17 04:00:00,18
1.54546264774132e-17,22,15,24,"KM1901","euk","Qc",2019-01-16 04:00:00,18
2.86136818390254e-16,22,13,24,"KM1903","euk","Qc",2019-02-20 04:00:00,18
3.85832883301808e-27,21,12,24,"KM1909","euk","Qc",2019-06-12 04:00:00,18
2.40649931714316e-23,23,11,24,"KM1912","euk","Qc",2019-07-02 05:00:00,19
1.9820271762091e-07,18,17,24,"KM1915","euk","Qc",2019-08-03 02:00:00,16
1.40570766158431e-31,22,13,24,"KM1917","euk","Qc",2019-09-05 04:00:00,18
1.54628866758239e-17,22,12,24,"KM2001","euk","Qc",2020-01-08 04:00:00,18
1.91602566949556e-35,22,13,24,"KM2002","euk","Qc",2020-01-31 05:00:00,19
5.87288800360396e-19,24,13,24,"KM2009","euk","Qc",2020-08-08 04:00:00,18
2.81414089060912e-11,17,14,24,"KM2011","euk","Qc",2020-09-27 03:00:00,17
4.93473974546288e-37,18,12,24,"KM2013","euk","Qc",2020-11-19 04:00:00,18
1.72498494863595e-09,22,15,24,"KM2014","euk","Qc",2020-12-19 03:00:00,17
8.84411160478097e-19,22,16,24,"KM2101","euk","Qc",2021-01-13 03:00:00,17
2.45959971832794e-13,19,14,24,"KM1427","croco","Qc",2014-12-10 03:00:00,17
0.0012174338990979,21,17,24,"KM1508","croco","Qc",2015-05-24 02:00:00,16
0.0145132413455142,5,10,24,"KM1512","croco","Qc",2015-07-19 11:00:00,1
0.624271057057988,23,9,24,"KM1518","croco","Qc",2015-11-14 05:00:00,19
1.38940484985921e-06,3,9,24,"KM1601","croco","Qc",2016-01-12 09:00:00,23
0.420026738263552,5,10,24,"KM1602","croco","Qc",2016-02-09 11:00:00,1
0.190216656844868,21,14,24,"KOK1604","croco","Qc",2016-04-14 16:00:00,6
0.745711336674718,8,11,24,"KOK1608","croco","Qc",2016-07-11 04:00:00,18
2.63342726982793e-17,13,12,24,"KOK1609","croco","Qc",2016-08-09 09:00:00,23
1.39161603212842e-29,2,9,24,"KM1708","croco","Qc",2017-06-20 08:00:00,22
1.22447034060811e-20,22,15,24,"KM1717","croco","Qc",2017-11-09 03:00:00,17
0.00449529744727605,1,13,24,"KM1802","croco","Qc",2018-01-17 06:00:00,20
0.510493271487598,18,13,24,"KOK1801","croco","Qc",2018-04-18 04:00:00,18
0.959846490551838,20,10,24,"KOK1803","croco","Qc",2018-05-16 05:00:00,19
8.87834528211866e-19,23,10,24,"KOK1804","croco","Qc",2018-06-27 07:00:00,21
0.0629094698674194,23,12,24,"KOK1807","croco","Qc",2018-07-25 06:00:00,20
2.10611859813979e-32,22,15,24,"KM1821","croco","Qc",2018-11-17 03:00:00,17
